id,ever_married,work_type,Residence_type
9046,Yes,Private,Urban
51676,Yes,Self-employed,Rural
31112,Yes,Private,Rural
60182,Yes,Private,Urban
1665,Yes,Self-employed,Rural
56669,Yes,Private,Urban
53882,Yes,Private,Rural
10434,No,Private,Urban
27419,Yes,Private,Rural
60491,Yes,Private,Urban
12109,Yes,Private,Rural
12095,Yes,Govt_job,Rural
12175,Yes,Private,Urban
8213,Yes,Private,Urban
5317,Yes,Private,Urban
58202,Yes,Self-employed,Rural
56112,Yes,Private,Urban
34120,Yes,Private,Urban
27458,No,Private,Urban
25226,No,Govt_job,Urban
70630,Yes,Govt_job,Rural
13861,Yes,Self-employed,Urban
68794,Yes,Self-employed,Urban
64778,Yes,Private,Rural
4219,Yes,Private,Urban
70822,Yes,Self-employed,Rural
38047,Yes,Private,Rural
61843,Yes,Private,Rural
54827,Yes,Self-employed,Urban
69160,Yes,Private,Rural
43717,Yes,Private,Urban
33879,Yes,Private,Rural
39373,Yes,Self-employed,Urban
54401,Yes,Self-employed,Urban
14248,No,Govt_job,Urban
712,No,Private,Rural
47269,Yes,Private,Rural
24977,Yes,Private,Rural
47306,No,Private,Rural
62602,Yes,Private,Urban
4651,Yes,Private,Rural
1261,Yes,Private,Urban
61960,Yes,Private,Urban
1845,Yes,Private,Urban
7937,Yes,Govt_job,Urban
19824,Yes,Private,Rural
37937,No,Self-employed,Urban
47472,Yes,Private,Urban
35626,Yes,Self-employed,Urban
36338,Yes,Private,Rural
18587,No,Private,Urban
15102,Yes,Private,Urban
59190,Yes,Private,Rural
47167,Yes,Self-employed,Urban
8752,Yes,Govt_job,Urban
25831,Yes,Private,Rural
38829,Yes,Private,Rural
66400,Yes,Private,Urban
58631,Yes,Self-employed,Urban
5111,Yes,Govt_job,Urban
10710,Yes,Private,Urban
55927,Yes,Private,Rural
65842,Yes,Self-employed,Rural
19557,Yes,Private,Rural
7356,Yes,Private,Urban
17013,No,Private,Urban
17004,Yes,Private,Urban
72366,Yes,Private,Urban
6118,Yes,Private,Urban
7371,Yes,Self-employed,Rural
70676,Yes,Govt_job,Rural
2326,Yes,Private,Rural
27169,Yes,Govt_job,Rural
50784,Yes,Private,Rural
19773,Yes,Private,Rural
66159,Yes,Self-employed,Rural
36236,Yes,Private,Urban
71673,Yes,Private,Urban
45805,Yes,Private,Urban
42117,Yes,Self-employed,Urban
57419,Yes,Private,Rural
26015,Yes,Self-employed,Urban
26727,No,Private,Rural
66638,No,Self-employed,Urban
70042,Yes,Private,Urban
32399,Yes,Private,Rural
3253,Yes,Private,Rural
71796,Yes,Private,Rural
14499,Yes,Private,Urban
49130,Yes,Private,Urban
28291,Yes,Private,Urban
51169,Yes,Private,Urban
66315,No,Self-employed,Urban
37726,Yes,Self-employed,Urban
54385,Yes,Private,Rural
2458,Yes,Private,Rural
35512,Yes,Self-employed,Rural
56841,Yes,Private,Rural
8154,Yes,Govt_job,Urban
4639,Yes,Govt_job,Urban
12363,Yes,Govt_job,Urban
63973,Yes,Govt_job,Rural
45277,Yes,Private,Rural
4712,Yes,Self-employed,Rural
33175,Yes,Govt_job,Urban
2346,Yes,Private,Urban
42072,Yes,Private,Rural
12062,Yes,Self-employed,Rural
30456,Yes,Private,Rural
59125,Yes,Govt_job,Urban
56546,Yes,Private,Rural
48405,Yes,Private,Urban
36706,Yes,Self-employed,Urban
41069,Yes,Private,Rural
71639,No,Govt_job,Urban
53401,No,Govt_job,Rural
60744,Yes,Self-employed,Rural
7547,Yes,Private,Urban
31720,No,Self-employed,Urban
5563,Yes,Private,Urban
68798,Yes,Private,Rural
72918,Yes,Private,Urban
13491,Yes,Private,Rural
44033,Yes,Private,Rural
14164,Yes,Private,Urban
50522,Yes,Govt_job,Urban
3352,Yes,Self-employed,Urban
70943,Yes,Private,Urban
37132,Yes,Govt_job,Urban
48796,Yes,Govt_job,Urban
53440,Yes,Private,Rural
16817,No,Private,Urban
69551,No,Private,Rural
31563,Yes,Private,Rural
20387,Yes,Self-employed,Rural
71279,Yes,Govt_job,Urban
55824,Yes,Private,Urban
11762,Yes,Private,Urban
29281,Yes,Self-employed,Rural
30683,Yes,Private,Rural
20439,Yes,Govt_job,Rural
45965,Yes,Private,Rural
8045,Yes,Private,Urban
37651,No,Self-employed,Urban
17308,Yes,Private,Urban
67981,Yes,Private,Urban
41241,Yes,Self-employed,Urban
62861,Yes,Private,Urban
72081,Yes,Govt_job,Rural
58978,Yes,Private,Rural
11933,Yes,Private,Rural
46703,Yes,Private,Urban
32503,Yes,Self-employed,Urban
12482,Yes,Self-employed,Urban
56939,Yes,Self-employed,Rural
24669,Yes,Private,Rural
43054,Yes,Private,Rural
59437,Yes,Private,Urban
66258,Yes,Self-employed,Urban
34567,Yes,Self-employed,Rural
50931,Yes,Private,Urban
16590,Yes,Private,Urban
69768,No,children,Urban
20426,No,Private,Urban
3512,Yes,Self-employed,Urban
42899,Yes,Self-employed,Urban
63453,Yes,Govt_job,Rural
43364,Yes,Private,Rural
44993,No,Govt_job,Urban
210,Yes,Self-employed,Rural
28939,Yes,Self-employed,Rural
60739,No,Self-employed,Rural
67432,Yes,Private,Urban
2182,Yes,Self-employed,Rural
40899,Yes,Self-employed,Rural
14431,Yes,Self-employed,Rural
62466,Yes,Private,Urban
36841,Yes,Self-employed,Rural
33486,Yes,Govt_job,Urban
65105,Yes,Private,Urban
54567,Yes,Private,Urban
66204,Yes,Private,Urban
39912,Yes,Private,Rural
8003,No,Private,Urban
28378,Yes,Private,Urban
41081,Yes,Private,Rural
16077,Yes,Self-employed,Urban
67895,Yes,Govt_job,Urban
30184,Yes,Private,Rural
66955,Yes,Private,Urban
24905,Yes,Private,Urban
66071,Yes,Private,Urban
36255,Yes,Self-employed,Rural
69112,Yes,Private,Rural
23410,Yes,Private,Rural
64373,Yes,Private,Urban
58267,Yes,Private,Rural
35684,Yes,Private,Rural
18937,Yes,Private,Rural
491,Yes,Self-employed,Urban
54695,Yes,Private,Urban
68627,Yes,Private,Urban
8580,Yes,Self-employed,Rural
28484,Yes,Self-employed,Rural
62019,Yes,Govt_job,Rural
51314,Yes,Private,Urban
37060,Yes,Private,Rural
35578,No,Self-employed,Urban
54921,Yes,Self-employed,Rural
33454,Yes,Govt_job,Rural
33943,Yes,Private,Urban
62439,Yes,Govt_job,Rural
31179,Yes,Private,Urban
66866,Yes,Private,Urban
2548,Yes,Self-employed,Urban
68025,No,Private,Urban
2390,Yes,Self-employed,Urban
29552,Yes,Private,Urban
25904,Yes,Self-employed,Urban
31421,Yes,Govt_job,Rural
20463,Yes,Private,Urban
68023,Yes,Private,Rural
12689,Yes,Govt_job,Rural
54724,No,Govt_job,Urban
8899,No,Private,Rural
39186,Yes,Private,Urban
32729,Yes,Private,Rural
39105,Yes,Self-employed,Rural
31154,Yes,Self-employed,Urban
69959,No,Private,Urban
10552,Yes,Self-employed,Rural
12917,Yes,Private,Urban
68356,Yes,Self-employed,Urban
23368,Yes,Self-employed,Urban
25974,Yes,Self-employed,Urban
1210,Yes,Private,Rural
28493,Yes,Private,Urban
36857,Yes,Self-employed,Rural
1836,Yes,Private,Urban
32221,Yes,Private,Urban
10548,Yes,Private,Rural
52282,Yes,Private,Rural
45535,Yes,Private,Rural
40460,Yes,Private,Urban
17739,Yes,Private,Rural
49669,No,children,Rural
27153,Yes,Self-employed,Rural
